*SOIL WATER BY LAYER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.021 -develop  JUL 11, 2025 15:43:00

!----------------------------
! Variable Descriptions (unit)
!----------------------------
!YEAR    Year of current date of simulation (YYYY)
!DOY     Day of year (d)
!DAS     Days after start of simulation (d)
!LL#D    Volumetric soil water content at Lower Limit in soil layer # (cm3 [water] / cm3 [soil])
!DUL#D   Volumetric soil water content at Drained Upper Limit in soil layer # (cm3[water]/cm3[soil])
!SAT#D   Volumetric soil water content at Saturation in soil layer # (cm3 [water] / cm3 [soil])
!BD#D    Bulk density in soil layer # (g [soil] / cm3 [soil])
!SW#D    Volumetric soil water content in soil layer #  (cm3 [water] / cm3 [soil])

!                    0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155     0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155     0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155     0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155     0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155
@YEAR DOY   DAS     LL1D    LL2D    LL3D    LL4D    LL5D    LL6D    LL7D    LL8D    LL9D   LL10D   DUL1D   DUL2D   DUL3D   DUL4D   DUL5D   DUL6D   DUL7D   DUL8D   DUL9D  DUL10D   SAT1D   SAT2D   SAT3D   SAT4D   SAT5D   SAT6D   SAT7D   SAT8D   SAT9D  SAT10D    BD1D    BD2D    BD3D    BD4D    BD5D    BD6D    BD7D    BD8D    BD9D   BD10D    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    SW9D   SW10D
 1974 305     1   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3069  0.3244  0.3372  0.3472  0.3299  0.3299  0.3299  0.3299  0.3300  0.3300
 1974 306     2   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2979  0.3156  0.3363  0.3636  0.3297  0.3298  0.3298  0.3298  0.3299  0.3299
 1974 307     3   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3048  0.3214  0.3387  0.3760  0.3359  0.3295  0.3295  0.3296  0.3297  0.3297
 1974 308     4   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2900  0.3097  0.3287  0.3725  0.3647  0.3292  0.3293  0.3294  0.3295  0.3296
 1974 309     5   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2818  0.3036  0.3235  0.3718  0.3695  0.3352  0.3289  0.3291  0.3293  0.3294
 1974 310     6   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2831  0.3020  0.3226  0.3720  0.3716  0.3349  0.3286  0.3289  0.3291  0.3292
 1974 311     7   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2951  0.3039  0.3232  0.3725  0.3720  0.3369  0.3285  0.3288  0.3290  0.3292
 1974 312     8   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.2896  0.3037  0.3234  0.3729  0.3724  0.3393  0.3284  0.3287  0.3290  0.3291
 1974 313     9   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3067  0.3081  0.3257  0.3742  0.3733  0.3426  0.3283  0.3286  0.3289  0.3291
 1974 314    10   0.1100  0.1300  0.1500  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2200  0.2800  0.3000  0.3200  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3700  0.3300  0.3750  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  0.4200  1.1000  1.1500  1.2000  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  1.2500  0.3039  0.3255  0.3354  0.3795  0.3762  0.3489  0.3280  0.3283  0.3287  0.3289
